docs/chatmodes/README.md	chatmodes/privacy-legal.chatmode.md	references	EXTRACTED
docs/chatmodes/README.md	chatmodes/qa.chatmode.md	references	EXTRACTED
docs/chatmodes/README.md	chatmodes/sa.chatmode.md	references	EXTRACTED
docs/chatmodes/README.md	chatmodes/security.chatmode.md	references	EXTRACTED
docs/chatmodes/README.md	chatmodes/sm.chatmode.md	references	EXTRACTED
docs/chatmodes/README.md	chatmodes/sre.chatmode.md	references	EXTRACTED
docs/chatmodes/README.md	chatmodes/tw.chatmode.md	references	EXTRACTED
docs/chatmodes/README.md	docs/checklists/README.md	mirrors	EXTRACTED
docs/chatmodes/README.md	docs/instructions/README.md	mirrors	EXTRACTED
docs/chatmodes/README.md	docs/instructions/README.md	references	EXTRACTED
docs/chatmodes/README.md	docs/prompts/README.md	mirrors	EXTRACTED
docs/chatmodes/README.md	docs/prompts/README.md	references	EXTRACTED
docs/chatmodes/README.md	docs/README.md	mirrors	EXTRACTED
docs/chatmodes/README.md	docs/scripts/README.md	mirrors	EXTRACTED
docs/chatmodes/README.md	docs/tasks/README.md	mirrors	EXTRACTED
docs/chatmodes/README.md	docs/templates/README.md	mirrors	EXTRACTED
docs/chatmodes/README.md	docs/testing/README.md	mirrors	EXTRACTED
docs/chatmodes/README.md	README.md	mirrors	EXTRACTED
docs/chatmodes/README.md	README.md	references	EXTRACTED
docs/chatmodes/README.md	templates/ai-headers/README.md	mirrors	EXTRACTED
docs/chatmodes/README.md	templates/cloud/README.md	mirrors	EXTRACTED
docs/chatmodes/README.md	templates/README.md	mirrors	EXTRACTED
docs/checklists/README.md	checklists/pm.checklist.md	references	EXTRACTED
docs/checklists/README.md	checklists/po.checklist.md	references	EXTRACTED
docs/checklists/README.md	checklists/qa.checklist.md	references	EXTRACTED
docs/checklists/README.md	checklists/sa.checklist.md	references	EXTRACTED
docs/checklists/README.md	checklists/story-done.checklist.md	references	EXTRACTED
docs/checklists/README.md	checklists/story-draft.checklist.md	references	EXTRACTED
docs/checklists/README.md	checklists/update.checklist.md	references	EXTRACTED
docs/checklists/README.md	docs/instructions/README.md	mirrors	EXTRACTED
docs/checklists/README.md	docs/instructions/README.md	references	EXTRACTED
docs/checklists/README.md	docs/prompts/README.md	mirrors	EXTRACTED
docs/checklists/README.md	docs/README.md	mirrors	EXTRACTED
docs/checklists/README.md	docs/scripts/README.md	mirrors	EXTRACTED
docs/checklists/README.md	docs/tasks/README.md	mirrors	EXTRACTED
docs/checklists/README.md	docs/templates/README.md	mirrors	EXTRACTED
docs/checklists/README.md	docs/templates/README.md	references	EXTRACTED
docs/checklists/README.md	docs/testing/README.md	mirrors	EXTRACTED
